datetime,temp,humidity,windspeed,conditions,recommended_outfit
2024-01-05,-9.1,86.0,21.6,"Snow, Overcast","Зимняя одежда: теплая куртка, шапка, перчатки"
2024-01-06,-8.1,80.1,21.6,"Snow, Partially cloudy","Зимняя одежда: теплая куртка, шапка, перчатки"
2024-01-07,-17.9,83.1,14.4,Partially cloudy,"Зимняя одежда: теплая куртка, шапка, перчатки"
2024-01-08,-18.4,77.5,14.4,Partially cloudy,"Зимняя одежда: теплая куртка, шапка, перчатки"
2024-01-09,-8.3,88.7,32.4,Partially cloudy,"Зимняя одежда: теплая куртка, шапка, перчатки"
2024-01-10,-0.5,99.0,25.2,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-11,-0.7,86.1,39.6,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-12,-10.5,80.6,25.2,"Snow, Partially cloudy","Зимняя одежда: теплая куртка, шапка, перчатки"
2024-01-13,-11.7,84.5,21.6,"Snow, Partially cloudy","Зимняя одежда: теплая куртка, шапка, перчатки"
2024-01-14,-6.4,92.8,21.6,"Snow, Rain, Overcast","Зимняя одежда: теплая куртка, шапка, перчатки"
2024-01-15,-0.5,97.5,25.2,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-16,-4.0,79.4,39.6,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-17,-11.5,75.8,25.2,Partially cloudy,"Зимняя одежда: теплая куртка, шапка, перчатки"
2024-01-18,-6.0,89.1,32.4,"Snow, Overcast","Зимняя одежда: теплая куртка, шапка, перчатки"
2024-01-19,-4.7,92.5,18.0,Partially cloudy,Теплая куртка и шарф
2024-01-20,-4.1,93.2,21.6,"Snow, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-21,-4.9,92.8,21.6,"Snow, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-22,-3.8,85.3,36.0,Overcast,Теплая куртка и шарф
2024-01-23,-0.3,95.6,39.6,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-24,1.2,96.0,36.0,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-25,1.8,98.5,21.6,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-26,0.5,97.0,32.4,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-27,-1.2,95.7,7.2,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-28,-4.1,96.6,7.2,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-01-29,-0.6,97.3,25.2,Overcast,Теплая куртка и шарф
2024-01-30,-0.6,88.6,25.2,Partially cloudy,Теплая куртка и шарф
2024-01-31,-0.7,90.9,18.0,Partially cloudy,Теплая куртка и шарф
2024-02-01,1.4,90.8,25.2,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-02,0.4,76.5,36.0,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-03,2.2,96.1,36.0,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-04,2.5,86.5,36.0,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-05,0.4,94.4,28.8,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-06,-2.4,90.0,25.2,"Snow, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-07,0.6,86.7,39.6,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-08,-4.2,69.4,25.2,Partially cloudy,Теплая куртка и шарф
2024-02-09,-2.8,78.4,18.0,"Snow, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-10,-2.9,86.9,25.2,"Snow, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-11,-1.1,98.5,21.6,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-12,0.8,99.7,18.0,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-13,1.1,100.0,10.8,Overcast,Теплая куртка и шарф
2024-02-14,0.8,96.8,21.6,Overcast,Теплая куртка и шарф
2024-02-15,-0.3,89.1,10.8,Partially cloudy,Теплая куртка и шарф
2024-02-16,0.2,85.6,25.2,Partially cloudy,Теплая куртка и шарф
2024-02-17,1.8,94.4,28.8,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-18,-0.5,72.8,36.0,"Rain, Partially cloudy",Теплая одежда и дождевик
2024-02-19,-3.6,74.6,21.6,Partially cloudy,Теплая куртка и шарф
2024-02-20,-1.5,87.5,28.8,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-21,0.3,98.0,18.0,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-22,2.7,99.9,21.6,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-02-23,4.6,96.1,28.8,"Rain, Overcast",Теплая одежда и дождевик
2024-02-24,6.4,95.2,25.2,"Rain, Overcast",Осенняя куртка и дождевик
2024-02-25,6.1,99.6,25.2,"Rain, Overcast",Осенняя куртка и дождевик
2024-02-26,4.2,99.6,25.2,"Rain, Overcast",Теплая одежда и дождевик
2024-02-27,5.9,79.2,25.2,Partially cloudy,Осенняя куртка
2024-02-28,5.6,71.9,25.2,Partially cloudy,Осенняя куртка
2024-02-29,5.6,89.3,14.4,"Rain, Overcast",Осенняя куртка и дождевик
2024-03-01,3.6,93.2,18.0,Partially cloudy,Теплая куртка и шарф
2024-03-02,4.0,80.5,28.8,Partially cloudy,Теплая куртка и шарф
2024-03-03,1.6,74.6,25.2,Partially cloudy,Теплая куртка и шарф
2024-03-04,0.6,86.4,21.6,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-03-05,1.6,81.9,14.4,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-03-06,-0.1,69.0,14.4,Partially cloudy,Теплая куртка и шарф
2024-03-07,-1.7,71.4,10.8,Clear,Теплая куртка и шарф
2024-03-08,0.4,71.8,18.0,Clear,Теплая куртка и шарф
2024-03-09,-0.9,80.6,14.4,Partially cloudy,Теплая куртка и шарф
2024-03-10,-0.8,61.4,18.0,Partially cloudy,Теплая куртка и шарф
2024-03-11,-1.3,57.2,21.6,Clear,Теплая куртка и шарф
2024-03-12,0.7,62.0,25.2,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-03-13,1.3,80.2,21.6,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-03-14,3.1,66.5,10.8,Partially cloudy,Теплая куртка и шарф
2024-03-15,2.7,80.9,18.0,Partially cloudy,Теплая куртка и шарф
2024-03-16,5.2,79.2,25.2,Partially cloudy,Осенняя куртка
2024-03-17,4.8,93.5,21.6,"Rain, Partially cloudy",Теплая одежда и дождевик
2024-03-18,2.2,92.0,18.0,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-03-19,4.3,87.6,21.6,"Rain, Overcast",Теплая одежда и дождевик
2024-03-20,2.9,87.8,14.4,Overcast,Теплая куртка и шарф
2024-03-21,4.0,84.8,14.4,Partially cloudy,Теплая куртка и шарф
2024-03-22,3.0,91.4,25.2,"Rain, Partially cloudy",Теплая одежда и дождевик
2024-03-23,7.2,94.9,18.0,"Rain, Overcast",Осенняя куртка и дождевик
2024-03-24,5.1,85.5,28.8,"Snow, Rain, Partially cloudy",Осенняя куртка и дождевик
2024-03-25,2.3,81.6,18.4,"Rain, Partially cloudy",Теплая одежда и дождевик
2024-03-26,2.9,73.2,14.4,Partially cloudy,Теплая куртка и шарф
2024-03-27,5.7,59.1,32.4,Partially cloudy,Осенняя куртка
2024-03-28,6.4,73.1,28.8,Partially cloudy,Осенняя куртка
2024-03-29,9.3,78.0,25.2,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-03-30,9.6,73.6,21.6,Partially cloudy,Осенняя куртка
2024-03-31,14.8,64.6,28.8,Partially cloudy,Осенняя куртка
2024-04-01,17.0,55.6,25.2,"Rain, Partially cloudy",Легкая куртка или свитер
2024-04-02,16.8,57.7,28.8,"Rain, Partially cloudy",Легкая куртка или свитер
2024-04-03,4.8,84.9,39.6,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-04-04,1.0,83.1,25.2,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-04-05,3.5,92.3,21.6,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-04-06,8.7,93.9,18.0,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-04-07,8.7,89.7,18.0,Overcast,Осенняя куртка
2024-04-08,13.2,75.0,21.6,Partially cloudy,Осенняя куртка
2024-04-09,16.3,66.2,21.6,Partially cloudy,Легкая куртка или свитер
2024-04-10,16.5,64.6,18.0,Partially cloudy,Легкая куртка или свитер
2024-04-11,11.4,56.3,28.8,Partially cloudy,Осенняя куртка
2024-04-12,10.9,65.5,28.8,Partially cloudy,Осенняя куртка
2024-04-13,10.6,80.3,21.6,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-04-14,10.9,76.8,28.8,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-04-15,7.1,59.1,36.0,Partially cloudy,Осенняя куртка
2024-04-16,4.8,76.0,28.8,"Rain, Partially cloudy",Теплая одежда и дождевик
2024-04-17,5.5,70.8,18.0,Partially cloudy,Осенняя куртка
2024-04-18,5.0,76.7,25.2,"Rain, Partially cloudy",Теплая одежда и дождевик
2024-04-19,3.5,85.4,32.4,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-04-20,6.4,69.5,32.4,"Snow, Rain, Partially cloudy",Осенняя куртка и дождевик
2024-04-21,4.3,81.4,32.4,"Rain, Partially cloudy",Теплая одежда и дождевик
2024-04-22,3.6,90.6,32.4,"Snow, Rain, Overcast",Зимняя одежда: теплая куртка и ботинки для снега
2024-04-23,4.0,68.3,21.6,Partially cloudy,Теплая куртка и шарф
2024-04-24,4.8,89.8,25.2,"Snow, Rain, Partially cloudy",Зимняя одежда: теплая куртка и ботинки для снега
2024-04-25,8.5,85.1,25.2,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-04-26,8.1,82.4,14.4,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-04-27,9.4,64.7,14.4,Partially cloudy,Осенняя куртка
2024-04-28,12.0,66.7,21.6,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-04-29,13.4,63.3,18.0,Partially cloudy,Осенняя куртка
2024-04-30,14.8,54.0,21.6,Partially cloudy,Осенняя куртка
2024-05-01,13.9,62.3,14.4,Clear,Осенняя куртка
2024-05-02,14.6,57.8,14.4,Clear,Осенняя куртка
2024-05-03,11.9,57.0,18.0,Partially cloudy,Осенняя куртка
2024-05-04,10.9,60.1,10.8,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-05-05,15.0,56.8,28.8,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-05-06,11.8,78.3,19.7,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-05-07,6.4,82.5,36.0,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-05-08,5.5,60.3,25.2,Partially cloudy,Осенняя куртка
2024-05-09,5.2,50.0,18.0,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-05-10,10.0,76.6,28.8,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-05-11,8.1,62.2,36.0,Partially cloudy,Осенняя куртка
2024-05-12,8.2,54.5,21.6,Partially cloudy,Осенняя куртка
2024-05-13,9.2,56.6,14.4,Partially cloudy,Осенняя куртка
2024-05-14,9.6,56.3,18.0,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-05-15,10.8,59.4,18.0,Partially cloudy,Осенняя куртка
2024-05-16,12.0,56.2,14.4,Partially cloudy,Осенняя куртка
2024-05-17,14.5,56.9,21.6,Partially cloudy,Осенняя куртка
2024-05-18,16.5,67.1,21.6,"Rain, Partially cloudy",Легкая куртка или свитер
2024-05-19,15.9,69.1,18.0,"Rain, Partially cloudy",Легкая куртка или свитер
2024-05-20,16.9,65.2,18.0,"Rain, Partially cloudy",Легкая куртка или свитер
2024-05-21,14.7,83.9,10.8,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-05-22,17.6,71.5,18.0,"Rain, Partially cloudy",Легкая куртка или свитер
2024-05-23,19.1,63.9,28.8,"Rain, Partially cloudy",Легкая куртка или свитер
2024-05-24,18.9,55.4,25.2,Partially cloudy,Легкая куртка или свитер
2024-05-25,19.3,52.1,25.2,Partially cloudy,Легкая куртка или свитер
2024-05-26,17.8,50.4,14.4,Partially cloudy,Легкая куртка или свитер
2024-05-27,18.5,57.6,14.7,Partially cloudy,Легкая куртка или свитер
2024-05-28,19.9,63.9,21.6,"Rain, Partially cloudy",Легкая куртка или свитер
2024-05-29,20.3,57.0,18.0,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-05-30,18.4,60.7,28.8,"Rain, Partially cloudy",Легкая куртка или свитер
2024-05-31,17.2,70.0,25.2,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-01,18.1,76.1,18.0,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-02,16.7,86.5,21.6,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-03,17.1,84.0,16.3,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-04,18.7,76.5,14.4,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-05,17.9,84.9,16.2,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-06,19.5,71.7,28.8,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-07,15.6,64.3,28.8,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-08,13.4,78.0,25.2,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-06-09,13.2,83.0,25.2,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-06-10,17.5,83.9,14.4,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-11,17.7,81.9,14.4,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-12,15.9,71.6,25.2,Partially cloudy,Легкая куртка или свитер
2024-06-13,16.1,62.6,18.0,Partially cloudy,Легкая куртка или свитер
2024-06-14,13.5,84.7,14.4,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-06-15,15.1,81.8,18.0,Partially cloudy,Легкая куртка или свитер
2024-06-16,18.2,79.3,18.0,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-17,19.0,82.5,21.6,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-18,21.1,69.0,21.6,Partially cloudy,Легкая одежда: футболка и шорты
2024-06-19,20.6,76.9,32.4,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-06-20,16.7,75.5,32.4,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-21,18.2,63.3,28.8,Partially cloudy,Легкая куртка или свитер
2024-06-22,17.9,69.6,14.4,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-23,19.2,75.1,28.8,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-24,17.5,79.3,18.0,"Rain, Partially cloudy",Легкая куртка или свитер
2024-06-25,19.4,68.4,18.0,Partially cloudy,Легкая куртка или свитер
2024-06-26,20.9,63.8,10.8,Clear,Легкая одежда: футболка и шорты
2024-06-27,22.3,65.7,14.4,Clear,Легкая одежда: футболка и шорты
2024-06-28,23.4,64.4,10.8,Partially cloudy,Легкая одежда: футболка и шорты
2024-06-29,23.1,70.5,28.8,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-06-30,23.0,64.6,14.4,Clear,Легкая одежда: футболка и шорты
2024-07-01,25.2,66.4,28.8,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-07-02,18.4,95.3,21.6,"Rain, Partially cloudy",Легкая куртка или свитер
2024-07-03,17.4,79.1,16.2,"Rain, Partially cloudy",Легкая куртка или свитер
2024-07-04,16.3,89.9,16.2,"Rain, Partially cloudy",Легкая куртка или свитер
2024-07-05,15.9,85.7,27.0,"Rain, Partially cloudy",Легкая куртка или свитер
2024-07-06,17.6,68.0,30.6,Partially cloudy,Легкая куртка или свитер
2024-07-07,23.0,56.2,39.6,Partially cloudy,Легкая одежда: футболка и шорты
2024-07-08,20.8,75.4,21.6,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-07-09,20.1,64.6,23.4,Clear,Легкая одежда: футболка и шорты
2024-07-10,21.2,59.3,19.8,Clear,Легкая одежда: футболка и шорты
2024-07-11,23.6,61.6,19.8,Clear,Легкая одежда: футболка и шорты
2024-07-12,24.6,74.5,16.2,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-07-13,25.4,72.9,46.8,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-07-14,22.5,84.2,14.4,Partially cloudy,Легкая одежда: футболка и шорты
2024-07-15,22.5,82.6,12.6,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-07-16,23.3,74.4,10.8,Partially cloudy,Легкая одежда: футболка и шорты
2024-07-17,25.1,69.9,18.0,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-07-18,20.2,87.2,21.6,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-07-19,19.0,77.6,18.0,Partially cloudy,Легкая куртка или свитер
2024-07-20,18.6,75.0,14.4,Partially cloudy,Легкая куртка или свитер
2024-07-21,18.5,77.5,12.6,"Rain, Partially cloudy",Легкая куртка или свитер
2024-07-22,19.9,75.3,14.4,"Rain, Partially cloudy",Легкая куртка или свитер
2024-07-23,20.5,75.3,12.6,Partially cloudy,Легкая одежда: футболка и шорты
2024-07-24,20.9,67.0,14.4,Partially cloudy,Легкая одежда: футболка и шорты
2024-07-25,20.7,68.7,18.0,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-07-26,20.8,69.4,14.4,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-07-27,20.9,73.7,16.2,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-07-28,19.0,87.8,39.6,"Rain, Partially cloudy",Легкая куртка или свитер
2024-07-29,14.7,88.7,39.6,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-07-30,18.3,84.5,32.4,"Rain, Partially cloudy",Легкая куртка или свитер
2024-07-31,17.9,73.3,23.4,Partially cloudy,Легкая куртка или свитер
2024-08-01,18.0,70.3,23.4,Partially cloudy,Легкая куртка или свитер
2024-08-02,17.0,73.1,19.8,Partially cloudy,Легкая куртка или свитер
2024-08-03,17.2,71.3,9.0,Partially cloudy,Легкая куртка или свитер
2024-08-04,18.1,70.7,19.8,Partially cloudy,Легкая куртка или свитер
2024-08-05,16.4,83.7,14.4,"Rain, Partially cloudy",Легкая куртка или свитер
2024-08-06,17.3,89.1,12.6,"Rain, Partially cloudy",Легкая куртка или свитер
2024-08-07,17.7,83.5,23.4,"Rain, Partially cloudy",Легкая куртка или свитер
2024-08-08,18.5,77.3,14.4,Partially cloudy,Легкая куртка или свитер
2024-08-09,19.8,73.2,10.8,Partially cloudy,Легкая куртка или свитер
2024-08-10,20.4,72.6,23.4,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-08-11,17.2,68.8,34.2,"Rain, Partially cloudy",Легкая куртка или свитер
2024-08-12,16.6,73.2,25.2,"Rain, Partially cloudy",Легкая куртка или свитер
2024-08-13,15.3,82.3,27.0,"Rain, Partially cloudy",Легкая куртка или свитер
2024-08-14,16.8,74.5,14.4,Partially cloudy,Легкая куртка или свитер
2024-08-15,18.0,69.1,10.8,Partially cloudy,Легкая куртка или свитер
2024-08-16,19.4,65.5,16.2,Partially cloudy,Легкая куртка или свитер
2024-08-17,21.4,71.5,14.4,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-08-18,22.6,73.7,12.6,Partially cloudy,Легкая одежда: футболка и шорты
2024-08-19,24.5,69.5,28.8,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-08-20,21.1,88.3,16.2,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-08-21,22.2,83.4,27.0,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-08-22,18.0,85.7,21.6,"Rain, Partially cloudy",Легкая куртка или свитер
2024-08-23,16.7,70.7,16.2,Partially cloudy,Легкая куртка или свитер
2024-08-24,19.1,68.7,18.0,Partially cloudy,Легкая куртка или свитер
2024-08-25,20.2,70.3,18.0,Clear,Легкая одежда: футболка и шорты
2024-08-26,21.2,76.0,19.8,Clear,Легкая одежда: футболка и шорты
2024-08-27,22.4,77.0,19.8,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-08-28,21.7,74.5,19.8,Partially cloudy,Легкая одежда: футболка и шорты
2024-08-29,22.4,68.5,12.6,Clear,Легкая одежда: футболка и шорты
2024-08-30,21.4,64.8,18.0,Partially cloudy,Легкая одежда: футболка и шорты
2024-08-31,21.4,60.3,23.4,Partially cloudy,Легкая одежда: футболка и шорты
2024-09-01,19.1,76.7,21.6,Partially cloudy,Легкая куртка или свитер
2024-09-02,20.4,71.8,19.8,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-09-03,21.2,67.3,16.2,Partially cloudy,Легкая одежда: футболка и шорты
2024-09-04,21.6,52.8,19.8,Partially cloudy,Легкая одежда: футболка и шорты
2024-09-05,19.8,67.0,21.6,Partially cloudy,Легкая куртка или свитер
2024-09-06,17.9,59.4,21.6,Clear,Легкая куртка или свитер
2024-09-07,16.8,55.2,19.8,Clear,Легкая куртка или свитер
2024-09-08,15.5,60.5,21.6,Clear,Легкая куртка или свитер
2024-09-09,17.6,53.4,32.4,Clear,Легкая куртка или свитер
2024-09-10,17.4,52.3,23.4,Partially cloudy,Легкая куртка или свитер
2024-09-11,18.6,66.0,19.8,"Rain, Partially cloudy",Легкая куртка или свитер
2024-09-12,19.1,85.9,23.4,"Rain, Partially cloudy",Легкая куртка или свитер
2024-09-13,19.0,83.9,19.8,"Rain, Partially cloudy",Легкая куртка или свитер
2024-09-14,20.0,66.1,25.2,"Rain, Partially cloudy",Легкая одежда: футболка и шорты
2024-09-15,21.7,44.1,28.8,Partially cloudy,Легкая одежда: футболка и шорты
2024-09-16,19.8,43.7,32.4,Clear,Легкая куртка или свитер
2024-09-17,18.7,53.6,16.2,Clear,Легкая куртка или свитер
2024-09-18,17.3,63.6,12.6,"Rain, Partially cloudy",Легкая куртка или свитер
2024-09-19,15.2,68.3,12.6,Partially cloudy,Легкая куртка или свитер
2024-09-20,15.3,71.7,16.2,Clear,Легкая куртка или свитер
2024-09-21,14.4,71.9,18.0,Clear,Осенняя куртка
2024-09-22,13.6,77.4,10.8,Partially cloudy,Осенняя куртка
2024-09-23,14.8,70.5,21.6,Partially cloudy,Осенняя куртка
2024-09-24,17.6,60.2,30.6,Partially cloudy,Легкая куртка или свитер
2024-09-25,17.3,66.2,30.6,"Rain, Partially cloudy",Легкая куртка или свитер
2024-09-26,16.5,78.8,32.4,"Rain, Partially cloudy",Легкая куртка или свитер
2024-09-27,17.3,85.2,25.2,"Rain, Partially cloudy",Легкая куртка или свитер
2024-09-28,16.7,76.9,23.4,"Rain, Partially cloudy",Легкая куртка или свитер
2024-09-29,10.6,82.6,19.8,"Rain, Partially cloudy",Осенняя куртка и дождевик
2024-09-30,8.9,68.7,25.2,"Rain, Overcast",Осенняя куртка и дождевик
